gene,name
ATXN7L2,V_1092
ATXN7L3,V_1093
AUP1,V_1094
AURKC,V_1095
AUTS2,V_1096
AVIL,V_1097
AVL9,V_1098
AVPR1A,V_1099
AVPR1B,V_1100
AVPR2,V_1101
AWAT1,V_1102
AWAT2,V_1103
AXDND1,V_1104
AXIN1,V_1105
AXIN2,V_1106
AXL,V_1107
AZGP1,V_1108
AZIN2,V_1109
AZU1,V_1110
B2M,V_1111
B3GALNT2,V_1112
B3GALT1,V_1113
B3GALT2,V_1114
B3GALT4,V_1115
B3GALT5,V_1116
B3GALTL,V_1117
B3GAT1,V_1118
B3GAT2,V_1119
B3GAT3,V_1120
B3GNT2,V_1121
B3GNT3,V_1122
B3GNT4,V_1123
B3GNT5,V_1124
B3GNT6,V_1125
B3GNT7,V_1126
B3GNT8,V_1127
B3GNTL1,V_1128
B4GALNT1,V_1129
B4GALNT2,V_1130
B4GALNT3,V_1131
B4GALNT4,V_1132
B4GALT1,V_1133
B4GALT2,V_1134
B4GALT4,V_1135
B4GALT5,V_1136
B4GAT1,V_1137
B9D2,V_1138
BAALC,V_1139
BAAT,V_1140
BABAM1,V_1141
BACE1,V_1142
BACE2,V_1143
BACH1,V_1144
BACH2,V_1145
BAD,V_1146
BAG5,V_1147
BAG6,V_1148
BAGE2,V_1149
BAHCC1,V_1150
BAHD1,V_1151
BAIAP2,V_1152
BAIAP2L1,V_1153
BAIAP3,V_1154
BAK1,V_1155
BAMBI,V_1156
BANK1,V_1157
BANP,V_1158
BAP1,V_1159
BARD1,V_1160
BARHL1,V_1161
BARHL2,V_1162
BARX2,V_1163
BASP1,V_1164
BATF2,V_1165
BAZ1A,V_1166
BAZ1B,V_1167
BAZ2A,V_1168
BAZ2B,V_1169
BBOX1,V_1170
BBS10,V_1171
BBS12,V_1172
BBS2,V_1173
BBS5,V_1174
BBS7,V_1175
BBS9,V_1176
BBX,V_1177
BCAM,V_1178
BCAN,V_1179
BCAP29,V_1180
BCAR1,V_1181
BCAR3,V_1182
BCAS1,V_1183
BCAS3,V_1184
BCAS4,V_1185
BCAT1,V_1186
BCCIP,V_1187
BCDIN3D,V_1188
BCHE,V_1189
BCKDHA,V_1190
BCKDHB,V_1191
BCKDK,V_1192
BCL11A,V_1193
BCL11B,V_1194
BCL2,V_1195
BCL2A1,V_1196
BCL2L1,V_1197
BCL2L10,V_1198
BCL2L13,V_1199
BCL2L14,V_1200
BCL6,V_1201
BCL6B,V_1202
BCL7A,V_1203
BCL9,V_1204
BCL9L,V_1205
BCLAF1,V_1206
BCO1,V_1207
BCO2,V_1208
BCOR,V_1209
BCORL1,V_1210
BCR,V_1211
BDH1,V_1212
BDKRB1,V_1213
BDKRB2,V_1214
BDP1,V_1215
BECN1,V_1216
BEND2,V_1217
BEND3,V_1218
BEND4,V_1219
BEND5,V_1220
BEND6,V_1221
BEND7,V_1222
BEST1,V_1223
BEST2,V_1224
BEST3,V_1225
BFAR,V_1226
BFSP1,V_1227
BFSP2,V_1228
BGN,V_1229
BHLHB9,V_1230
BHLHE22,V_1231
BHLHE40,V_1232
BHMT,V_1233
BHMT2,V_1234
BICC1,V_1235
BICD1,V_1236
BICD2,V_1237
BIN1,V_1238
BIN2,V_1239
BIRC2,V_1240
BIRC3,V_1241
BIRC5,V_1242
BIRC6,V_1243
BIRC7,V_1244
BIRC8,V_1245
BIVM-ERCC5,V_1246
BLID,V_1247
BLK,V_1248
BLM,V_1249
BLMH,V_1250
BLNK,V_1251
BLOC1S5-TXNDC5,V_1252
BLVRA,V_1253
BLZF1,V_1254
BMI1,V_1255
BMP1,V_1256
BMP10,V_1257
BMP15,V_1258
BMP2K,V_1259
BMP3,V_1260
BMP4,V_1261
BMP5,V_1262
BMP6,V_1263
BMP7,V_1264
BMPER,V_1265
BMPR1A,V_1266
BMPR1B,V_1267
BMPR2,V_1268
BMS1,V_1269
BMS1P1,V_1270
BMS1P15,V_1271
BMS1P20,V_1272
BMX,V_1273
BNC1,V_1274
BNC2,V_1275
BNIP1,V_1276
BNIP3L,V_1277
BNIP3P1,V_1278
BNIPL,V_1279
BOC,V_1280
BOD1L1,V_1281
BOD1L2,V_1282
BOLL,V_1283
BOP1,V_1284
BPGM,V_1285
BPHL,V_1286
BPI,V_1287
BPIFA1,V_1288
BPIFA2,V_1289
BPIFB1,V_1290
BPIFB2,V_1291
BPIFB3,V_1292
BPIFB4,V_1293
BPIFB6,V_1294
BPIFC,V_1295
BPNT1,V_1296
BPTF,V_1297
BRAF,V_1298
BRAP,V_1299
BRAT1,V_1300
BRCA1,V_1301
BRCA2,V_1302
BRCC3,V_1303
BRD1,V_1304
BRD2,V_1305
BRD3,V_1306
BRD4,V_1307
BRD7,V_1308
BRD8,V_1309
BRD9,V_1310
BRDT,V_1311
BRDTP1,V_1312
BRE,V_1313
BRF1,V_1314
BRF2,V_1315
BRI3BP,V_1316
BRINP1,V_1317
BRINP2,V_1318
BRINP3,V_1319
BRIP1,V_1320
BRMS1,V_1321
BRPF1,V_1322
BRPF3,V_1323
BRS3,V_1324
BRSK1,V_1325
BRSK2,V_1326
BRWD1,V_1327
BRWD3,V_1328
BSCL2,V_1329
BSDC1,V_1330
BSG,V_1331
